,mask_ratio,lr,transform,target,r_square
114,0.7,1e-05,instance_normalize,CaCO3,0.971
115,0.7,1e-05,instance_normalize,TOC,0.938
116,0.7,1e-05,normalize,CaCO3,0.974
117,0.7,1e-05,normalize,TOC,0.938
118,0.7,1e-05,log,CaCO3,0.972
119,0.7,1e-05,log,TOC,0.923
120,0.7,1e-06,instance_normalize,CaCO3,0.958
121,0.7,1e-06,instance_normalize,TOC,0.903
122,0.7,1e-06,normalize,CaCO3,0.956
123,0.7,1e-06,normalize,TOC,0.914
124,0.7,1e-06,log,CaCO3,0.959
125,0.7,1e-06,log,TOC,0.749
126,0.8,0.0001,instance_normalize,CaCO3,0.973
127,0.8,0.0001,instance_normalize,TOC,0.972
128,0.8,0.0001,normalize,CaCO3,0.976
129,0.8,0.0001,normalize,TOC,0.966
130,0.8,0.0001,log,CaCO3,0.98
131,0.8,0.0001,log,TOC,0.91
132,0.8,1e-05,instance_normalize,CaCO3,0.972
133,0.8,1e-05,instance_normalize,TOC,0.935
134,0.8,1e-05,normalize,CaCO3,0.973
135,0.8,1e-05,normalize,TOC,0.961
136,0.8,1e-05,log,CaCO3,0.974
137,0.8,1e-05,log,TOC,0.937
138,0.8,1e-06,instance_normalize,CaCO3,0.957
139,0.8,1e-06,instance_normalize,TOC,0.899
140,0.8,1e-06,normalize,CaCO3,0.96
141,0.8,1e-06,normalize,TOC,0.912
142,0.8,1e-06,log,CaCO3,0.962
143,0.8,1e-06,log,TOC,0.856
144,0.9,0.0001,instance_normalize,CaCO3,0.971
145,0.9,0.0001,instance_normalize,TOC,0.975
146,0.9,0.0001,normalize,CaCO3,0.977
147,0.9,0.0001,normalize,TOC,0.966
148,0.9,0.0001,log,CaCO3,0.968
149,0.9,0.0001,log,TOC,0.89
150,0.9,1e-05,instance_normalize,CaCO3,0.973
151,0.9,1e-05,instance_normalize,TOC,0.928
152,0.9,1e-05,normalize,CaCO3,0.976
153,0.9,1e-05,normalize,TOC,0.962
154,0.9,1e-05,log,CaCO3,0.975
155,0.9,1e-05,log,TOC,0.929
156,0.9,1e-06,instance_normalize,CaCO3,0.964
157,0.9,1e-06,instance_normalize,TOC,0.862
158,0.9,1e-06,normalize,CaCO3,0.963
159,0.9,1e-06,normalize,TOC,0.903
160,0.9,1e-06,log,CaCO3,0.955
161,0.9,1e-06,log,TOC,0.892
