,Z,element,Ka1,Ka2,Kb1,La1,La2,Lb1,Lb2,Ly1,Ma1
80,84,Po,79290.0,76862.0,89800.0,11130.8,11015.8,13447.0,13340.4,15744.0,
81,85,At,81520.0,78950.0,92300.0,11426.8,11304.8,13876.0,,16251.0,
82,86,Rn,83780.0,81070.0,94870.0,11727.0,11597.9,14316.0,,16770.0,
83,87,Fr,86100.0,83230.0,97470.0,12031.3,11895.0,14770.0,14450.0,17303.0,
84,88,Ra,88470.0,85430.0,100130.0,12339.7,12196.2,15235.8,14841.4,17849.0,
85,89,Ac,90884.0,87670.0,102850.0,12652.0,12500.8,15713.0,,18408.0,
86,90,Th,93350.0,89953.0,105609.0,12968.7,12809.6,16202.2,15623.7,18982.5,2996.1
87,91,Pa,95868.0,92287.0,108427.0,13290.7,13122.2,16702.0,16024.0,19568.0,3082.3
88,92,U,98439.0,94665.0,111300.0,13614.7,13438.8,17220.0,16428.3,20167.1,3170.8
89,93,Np,,,,13944.1,13759.7,17750.2,16840.0,20784.8,
90,94,Pu,,,,14278.6,14084.2,18293.7,17255.3,21417.3,
91,95,Am,,,,14617.2,14411.9,18852.0,17676.5,22065.2,
